,lake,water_body,date_collect,station_num,sample_num,station_descr,latitude,longitude
107,superior,,1990-08-13,20110013.0,228762,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
108,superior,,1990-08-20,20110013.0,228763,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
109,superior,,1990-09-04,20110013.0,228764,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
110,superior,,1990-09-10,20110013.0,228765,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
111,superior,,1990-09-17,20110013.0,228766,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
112,superior,,1990-09-24,20110013.0,228767,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
113,superior,,1990-10-01,20110013.0,228768,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
114,superior,,1990-10-01,20110013.0,228769,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
115,superior,,1990-10-08,20110013.0,228770,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
116,superior,,1990-10-15,20110013.0,228771,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
117,superior,,1990-10-15,20110013.0,228772,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
118,superior,,1990-10-21,20110013.0,228773,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
119,superior,,1990-10-21,20110013.0,228774,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
120,superior,,1990-10-29,20110013.0,228775,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
121,superior,,1990-10-29,20110013.0,228776,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
122,superior,,1990-11-05,20110013.0,228777,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
123,superior,,1990-11-12,20110013.0,228778,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
124,superior,,1990-11-12,20110013.0,228779,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
125,superior,,1990-11-19,20110013.0,228780,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
126,superior,,1990-11-19,20110013.0,228781,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
127,superior,,1990-11-26,20110013.0,228782,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
128,superior,,1990-11-26,20110013.0,228783,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
129,superior,,1990-12-03,20110013.0,228784,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
