lake,water_body,date_collect,station_num,sample_num,station_descr,latitude,longitude
erie,,1991-09-09,20140004.0,238406,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-09-16,20140004.0,238407,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-09-23,20140004.0,238408,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-09-30,20140004.0,238409,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-10-07,20140004.0,238410,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-10-15,20140004.0,238411,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-10-21,20140004.0,238412,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-10-28,20140004.0,238413,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-11-04,20140004.0,238414,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-11-11,20140004.0,238415,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-11-18,20140004.0,238416,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-11-25,20140004.0,238417,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-12-02,20140004.0,238418,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-12-09,20140004.0,238419,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-12-16,20140004.0,238420,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1991-12-30,20140004.0,238421,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-01-06,20140004.0,238422,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-01-13,20140004.0,238423,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-01-20,20140004.0,238424,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-01-27,20140004.0,238425,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-02-03,20140004.0,238426,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-02-10,20140004.0,238427,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-02-17,20140004.0,238428,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-02-24,20140004.0,238429,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-03-02,20140004.0,238430,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-03-09,20140004.0,238431,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-03-16,20140004.0,238432,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-03-23,20140004.0,238433,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-03-30,20140004.0,238434,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-04-06,20140004.0,238435,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-04-13,20140004.0,238436,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-04-20,20140004.0,238437,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-04-27,20140004.0,238438,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-05-05,20140004.0,238439,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
